userId,timestamp,merchantName,amount
28,2025-02-23 22:23:38.038839,Walmart,239.55
28,2025-02-23 22:23:38.038839,HOLA,239.55
50,2025-02-25 23:13:22.038839,Adidas,333.19
10,2025-02-16 12:07:49.038839,Nike,345.71
26,2025-02-23 21:23:27.038839,eBay,461.52
47,2025-03-01 08:48:42.038839,Adidas,116.09
23,2025-03-01 00:13:43.038839,Adidas,55.02
53,2025-02-12 10:01:50.038839,Apple Store,445.22
60,2025-02-20 14:26:43.038839,Costco,385.22
82,2025-02-11 14:31:51.038839,Adidas,125.24
73,2025-02-13 13:09:51.038839,BestBuy,325.82
73,2025-02-13 13:09:51.038840,BestBuy,325.82
73,2025-02-13 13:09:51.038850,BestBuy,325.82
73,2025-02-13 13:09:51.038860,BestBuy,325.82
73,2025-02-13 13:09:51.038870,BestBuy,325.82
25,2025-02-22 20:44:09.038839,Amazon,252.65
75,2025-02-16 04:25:46.038839,Amazon,168.54
99,2025-02-05 19:12:50.038839,Costco,429.14
63,2025-02-17 15:07:50.038839,Starbucks,19.19
18,2025-02-16 02:11:31.038839,Nike,177.86
32,2025-02-14 05:45:08.038839,Apple Store,227.23
75,2025-03-01 22:58:53.038839,UnknownMerchantXYZ,97.81
88,2025-02-26 12:20:32.038839,Costco,454.36
3,2025-02-03 21:54:50.038839,Apple Store,447.5
27,2025-02-06 06:32:08.038839,Walmart,219.29
69,2025-02-18 19:59:14.038839,Nike,104.75
16,2025-02-21 08:15:01.038839,Costco,433.32
99,2025-02-22 14:01:58.038839,Walmart,32.15
56,2025-02-03 05:55:49.038839,Nike,128.67
67,2025-02-02 04:31:45.038839,Adidas,357.12
44,2025-02-13 10:14:49.038839,Target,472.84
14,2025-02-10 06:42:51.038839,Target,40.6
31,2025-02-03 07:06:13.038839,Target,148.57
69,2025-02-15 09:42:05.038839,eBay,188.64
37,2025-02-15 05:08:49.038839,Amazon,154.65
5,2025-02-08 00:34:41.038839,Target,71.98
81,2025-02-07 16:12:09.038839,Nike,358.4
56,2025-02-21 11:54:21.038839,Target,55.45
16,2025-02-11 20:23:28.038839,Apple Store,172.02
65,2025-02-06 06:29:36.038839,Target,370.69
48,2025-02-23 10:07:42.038839,Starbucks,46.84
48,2025-02-05 03:16:21.038839,Walmart,434.15
56,2025-02-08 13:52:34.038839,Apple Store,393.23
72,2025-02-03 07:23:07.038839,Starbucks,315.12
21,2025-02-25 18:41:56.038839,Walmart,288.81
50,2025-03-01 11:38:55.038839,BestBuy,168.9
97,2025-02-13 17:01:27.038839,Nike,300.24
69,2025-02-16 15:45:33.038839,Target,457.2
36,2025-02-03 21:05:22.038839,Walmart,229.02
81,2025-02-16 16:53:08.038839,BestBuy,393.45
28,2025-02-10 21:08:31.038839,Amazon,196.32
66,2025-03-30 02:16:37.149295,Apple Store,113.07
91,2025-02-02 12:25:17.038839,Nike,330.12
91,2025-02-02 07:09:57.038839,Apple Store,196.45
38,2025-03-03 20:12:38.038839,Walmart,72.93
26,2025-03-03 20:12:46.038839,BestBuy,9.03
18,2025-03-02 12:16:58.038839,Starbucks,4.84
92,2025-02-15 12:56:41.038839,Adidas,118.4
92,2025-02-09 05:57:07.038839,Nike,101.9
5,2025-03-01 06:38:55.038839,Walmart,170.95
53,2025-02-16 00:45:46.038839,UnknownMerchantXYZ,68.1
98,2025-02-11 18:01:59.038839,Starbucks,227.77
83,2025-02-23 13:58:19.038839,Apple Store,27.57
59,2025-02-03 23:35:36.038839,Starbucks,260.78
33,2025-02-03 18:37:25.038839,Amazon,212.67
71,2025-02-05 03:53:02.038839,BestBuy,158.85
96,2025-02-25 09:30:16.038839,Apple Store,454.01
74,2025-02-07 13:31:53.038839,Costco,138.68
31,2025-02-25 10:27:15.038839,eBay,401.88
77,2025-02-19 06:29:30.038839,Target,350.45
41,2025-02-06 18:56:04.038839,eBay,138.95
1,2025-02-04 12:02:05.038839,Walmart,81.71
1,2025-02-28 09:10:30.038839,Walmart,163.58
57,2025-02-24 09:31:35.038839,Nike,125.17
30,2025-02-25 04:20:42.038839,Starbucks,100.13
14,2025-02-13 04:42:26.038839,eBay,447.42
31,2025-02-11 15:46:31.038839,Starbucks,391.28
60,2025-02-19 22:21:53.038839,Costco,19.09
10,2025-02-17 09:13:05.038839,Amazon,437.02
95,2025-02-13 22:40:14.038839,Apple Store,274.61
16,2025-03-03 20:18:35.038839,Apple Store,32.0
55,2025-02-13 23:49:11.038839,Amazon,173.99
4,2025-02-07 18:28:30.038839,Walmart,114.59
100,2025-03-05 02:16:37.142358,Walmart,439.11
67,2025-02-28 06:42:55.038839,Walmart,461.85
7,2025-02-07 08:20:04.038839,Starbucks,316.3
31,2025-02-13 04:50:54.038839,Costco,407.0
5,2025-02-10 23:47:11.038839,Starbucks,235.04
6,2025-02-09 00:24:13.038839,Starbucks,103.14
45,2025-02-06 01:23:32.038839,BestBuy,430.4
45,2025-02-15 17:05:44.038839,Target,347.01
86,2025-02-15 17:05:52.038839,Walmart,310.27
99,2025-02-24 05:00:28.038839,Apple Store,458.19
68,2025-02-16 04:46:09.038839,BestBuy,310.39
10,2025-02-18 06:11:22.038839,Starbucks,394.62
27,2025-02-18 04:03:06.038839,eBay,286.78
40,2025-02-05 02:02:48.038839,Apple Store,212.93
34,2025-02-17 06:27:26.038839,Nike,321.44
53,2025-02-08 09:07:40.038839,Walmart,151.52
55,2025-02-12 03:58:31.038839,Amazon,375.26
52,2025-02-05 18:28:05.038839,BestBuy,267.51
36,2025-02-15 10:57:06.038839,eBay,135.09
21,2025-03-03 12:30:19.038839,BestBuy,411.67
35,2025-02-09 13:16:41.038839,Costco,296.14
47,2025-02-20 10:39:49.038839,Target,239.12
41,2025-02-19 14:27:40.038839,BestBuy,430.05
33,2025-02-18 20:36:15.038839,Nike,112.9
16,2025-02-26 04:25:53.038839,Apple Store,181.98
60,2025-02-04 01:57:15.038839,Nike,194.45
65,2025-02-05 20:51:03.038839,Walmart,251.05
66,2025-03-03 03:52:22.038839,Costco,298.6
72,2025-03-02 07:46:12.038839,Starbucks,17.19
98,2025-02-18 05:06:52.038839,eBay,492.32
46,2025-02-03 02:15:51.038839,eBay,483.32
61,2025-02-22 11:15:55.038839,Apple Store,109.89
20,2025-02-25 10:25:38.038839,Amazon,71.75
35,2025-02-22 23:32:10.038839,Nike,325.18
68,2025-02-28 08:09:02.038839,Adidas,39.93
2,2025-02-23 09:30:23.038839,Apple Store,135.76
30,2025-03-02 10:40:47.038839,Adidas,419.03
62,2025-02-17 11:25:51.038839,Apple Store,489.42
45,2025-02-25 00:47:38.038839,Nike,225.52
60,2025-02-08 02:22:56.038839,Apple Store,430.04
95,2025-02-09 14:49:42.038839,eBay,380.5
75,2025-02-06 10:06:51.038839,BestBuy,270.07
100,2025-02-28 14:57:11.038839,Amazon,407.59
76,2025-03-03 16:19:46.038839,Apple Store,313.88
67,2025-02-04 16:15:01.038839,Nike,107.25
46,2025-03-01 16:16:05.038839,Target,124.33
50,2025-02-24 21:10:01.038839,Walmart,249.38
42,2025-02-21 20:48:29.038839,Target,42.09
55,2025-02-12 18:15:17.038839,eBay,307.76
22,2025-02-04 20:12:35.038839,Starbucks,217.13
19,2025-02-23 17:25:16.038839,Starbucks,298.02
60,2025-02-17 10:50:00.038839,Walmart,250.23
19,2025-02-05 22:04:06.038839,Amazon,219.54
11,2025-03-03 16:52:25.038839,Target,416.7
16,2025-02-28 02:22:34.038839,Walmart,176.68
23,2025-02-12 21:42:13.038839,Target,195.8
51,2025-02-07 23:37:18.038839,Amazon,483.85
89,2025-02-10 16:02:17.038839,eBay,227.4
56,2025-02-24 04:02:12.038839,Adidas,70.57
49,2025-02-02 17:57:04.038839,Apple Store,9.96
15,2025-02-12 04:55:21.038839,Adidas,80.27
19,2025-02-08 13:19:07.038839,Costco,486.93
100,2025-02-27 10:29:40.038839,Costco,169.47
38,2025-02-10 08:53:50.038839,Walmart,137.3
40,2025-02-02 06:06:13.038839,Apple Store,181.89
18,2025-03-03 13:57:14.038839,Costco,498.14
