userId,timestamp,merchantName,amount,is_suspicious,flag_reasons
1,2025-02-02 07:09:06.038839,eBay,96.04,False,
1,2025-02-02 13:45:28.038839,Amazon,50.88,False,
1,2025-02-02 22:39:01.038839,BestBuy,231.42,False,
1,2025-02-03 08:01:46.038839,BestBuy,85.82,False,
1,2025-02-04 06:04:53.038839,Walmart,95.25,False,
1,2025-02-04 09:13:20.038839,eBay,283.93,False,
1,2025-02-04 10:21:41.038839,Nike,364.85,False,
1,2025-02-04 12:02:05.038839,Walmart,81.71,False,
1,2025-02-05 04:39:33.038839,Adidas,457.41,False,
1,2025-02-05 06:23:35.038839,Target,80.72,False,
1,2025-02-05 14:03:47.038839,eBay,200.89,False,
1,2025-02-05 19:09:22.038839,UnknownMerchantXYZ,278.19,False,
1,2025-02-06 01:46:36.038839,BestBuy,105.11,False,
1,2025-02-06 03:21:57.038839,Walmart,169.19,False,
1,2025-02-06 14:32:35.038839,Adidas,21.51,False,
1,2025-02-06 18:33:42.038839,eBay,338.86,False,
1,2025-02-06 19:50:31.038839,eBay,161.09,False,
1,2025-02-07 20:39:52.038839,Apple Store,151.86,False,
1,2025-02-07 21:38:38.038839,eBay,438.01,False,
1,2025-02-07 22:23:50.038839,Starbucks,87.15,False,
1,2025-02-08 18:19:30.038839,Starbucks,167.43,False,
1,2025-02-09 04:56:12.038839,Amazon,89.83,False,
1,2025-02-09 16:27:56.038839,Starbucks,74.81,False,
1,2025-02-09 20:58:44.038839,Starbucks,141.39,False,
1,2025-02-09 21:01:28.038839,Starbucks,1375.2163393537785,True,Amount anomaly: $1375.2163393537785 (z-score: 6.26)
1,2025-02-09 22:15:01.038839,Walmart,22.35,False,
1,2025-02-10 03:29:57.038839,Costco,487.41,False,
1,2025-02-10 08:37:37.038839,Walmart,381.88,False,
1,2025-02-10 11:47:25.038839,Starbucks,259.88,False,
1,2025-02-11 08:38:57.038839,Walmart,475.33,False,
1,2025-02-11 09:36:26.038839,eBay,308.74,False,
1,2025-02-11 11:17:20.038839,Starbucks,267.5,False,
1,2025-02-12 10:11:58.038839,eBay,168.24,False,
1,2025-02-12 10:12:21.038839,Adidas,473.89,False,
1,2025-02-12 18:51:52.038839,BestBuy,279.05,False,
1,2025-02-12 20:53:42.038839,Adidas,88.62,False,
1,2025-02-13 03:29:26.038839,Adidas,127.84,False,
1,2025-02-13 04:11:12.038839,Apple Store,121.64,False,
1,2025-02-13 05:59:38.038839,eBay,319.41,False,
